"ano";"UF";"sexo";"idade";"cor";"mae_viva";"reg_nascimento";"UF_nasc";"alfabetizado";"anos_estudo";"renda_total"
2005;"PR";"homem";11;"branca";1;1;;1;4;0
2005;"RO";"mulher";28;"parda";0;1;"PR";1;9;0
2005;"GO";"homem";9;"branca";1;1;;1;2;
2005;"DF";"homem";37;"parda";0;1;"BA";1;6;0
2005;"SE";"homem";30;"branca";1;1;"BA";1;8;280
2005;"PR";"homem";53;"parda";1;1;"MG";1;2;400
2005;"PR";"homem";30;"branca";1;1;"SC";1;7;1500
2005;"SP";"mulher";3;"preta";1;1;;0;0;
2005;"MG";"mulher";5;"branca";1;1;;0;0;
2005;"MG";"mulher";21;"preta";1;1;;1;10;0
2005;"PE";"mulher";7;"parda";1;1;;1;0;
2005;"SP";"mulher";35;"parda";1;1;;1;14;1500
2005;"RS";"homem";20;"branca";1;1;;1;11;800
2005;"BA";"mulher";22;"branca";1;1;;1;11;300
2005;"MG";"homem";39;"branca";1;1;;1;5;1000
2005;"SP";"homem";22;"branca";1;1;;1;8;350
2005;"MA";"mulher";60;"parda";0;1;;1;1;300
2005;"AL";"mulher";19;"parda";1;1;;1;9;0
2005;"BA";"homem";55;"preta";1;1;;0;0;300
2005;"PA";"mulher";36;"parda";1;1;;1;7;470
2005;"MS";"homem";11;"branca";1;1;"PR";1;5;0
2005;"RS";"homem";35;"branca";0;1;;0;0;316
2005;"RS";"homem";18;"branca";1;1;;1;9;70
2005;"GO";"mulher";38;"parda";1;1;;1;12;2000
2005;"PA";"mulher";7;"parda";1;1;;0;0;
2005;"BA";"homem";23;"parda";1;1;;1;1;300
2005;"MG";"mulher";2;"parda";1;1;;0;0;
2005;"PA";"mulher";2;"parda";1;1;;0;0;
2005;"SC";"mulher";71;"branca";0;1;"PR";1;15;600
2005;"SP";"homem";52;"branca";1;1;;1;15;900
2005;"RR";"mulher";35;"parda";1;1;"MA";1;11;200
2005;"MG";"mulher";41;"parda";1;1;;1;8;330
2005;"MS";"homem";18;"branca";1;1;;1;10;0
2005;"AM";"homem";67;"parda";0;1;"PA";1;4;0
2005;"PE";"homem";2;"parda";1;1;;0;0;
2005;"MG";"homem";43;"parda";1;1;;1;4;565
2005;"RJ";"homem";66;"parda";0;1;"ES";1;4;1355
2005;"PB";"homem";30;"branca";1;1;"RJ";1;11;400
2005;"BA";"homem";44;"branca";1;1;;1;10;453
2005;"BA";"homem";5;"parda";1;1;;0;0;
2005;"GO";"homem";41;"branca";1;1;;1;8;800
2005;"TO";"mulher";16;"parda";1;1;;1;7;0
2005;"PA";"homem";27;"branca";1;1;;1;8;450
2005;"GO";"homem";50;"parda";1;1;;0;0;0
2005;"BA";"homem";7;"parda";1;1;;1;1;
2005;"BA";"mulher";16;"parda";1;1;;1;8;0
2005;"CE";"mulher";39;"branca";1;1;;1;10;300
2005;"RR";"homem";87;"parda";0;1;"PR";1;1;300
2005;"SP";"homem";8;"preta";1;1;;1;0;
2005;"RJ";"mulher";66;"parda";0;1;"PB";1;2;0
2005;"DF";"homem";21;"branca";1;1;;1;14;0
2005;"RJ";"homem";52;"branca";0;1;"MG";1;5;700
2005;"PA";"mulher";24;"branca";1;1;;1;14;0
2005;"PI";"homem";23;"parda";1;1;;1;9;0
2005;"MG";"homem";25;"parda";0;1;;1;8;350
2005;"RO";"mulher";4;"parda";1;1;;0;0;
2005;"BA";"mulher";51;"branca";1;1;;1;7;699
2005;"PB";"mulher";15;"parda";1;1;;1;5;0
2005;"GO";"homem";31;"branca";1;1;;1;12;900
2005;"SP";"mulher";16;"parda";1;1;;1;7;0
2005;"PI";"mulher";16;"parda";1;1;;1;8;30
2005;"MG";"homem";62;"branca";0;1;;1;4;0
2005;"SP";"mulher";12;"branca";1;1;;1;6;0
2005;"MG";"mulher";14;"branca";1;1;;1;7;0
2005;"GO";"mulher";7;"parda";1;1;;0;0;
